Field,Variable,Value,Label
FinalHomePuma10,11606,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11607,"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11608,King County (Northwest Central)--Greater Bellevue City PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11611,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11612,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11613,King County (Southwest Central)--Kent City PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11614,King County (Southwest)--Auburn City & Lakeland PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11615,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11701,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11702,Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11703,Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA",Final home address_ PUMA 2010
FinalHomePuma10,11705,Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11706,Snohomish County (North)--Marysville & Arlington Cities PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11801,Kitsap County (North)--Bainbridge Island City & Silverdale PUMA,Final home address_ PUMA 2010
FinalHomePuma10,11802,Kitsap County (South)--Bremerton & Port Orchard Cities PUMA,Final home address_ PUMA 2010
FinalHomeRgcnum,1,Not RCG,Final home address_ Regional growth center
FinalHomeRgcnum,2,Auburn,Final home address_ Regional growth center
FinalHomeRgcnum,3,Bellevue Downtown,Final home address_ Regional growth center
FinalHomeRgcnum,4,Bothell Canyon Park,Final home address_ Regional growth center
FinalHomeRgcnum,5,Bremerton,Final home address_ Regional growth center
FinalHomeRgcnum,6,Burien,Final home address_ Regional growth center
FinalHomeRgcnum,7,Everett,Final home address_ Regional growth center
FinalHomeRgcnum,8,Federal Way,Final home address_ Regional growth center
FinalHomeRgcnum,9,Issaquah,Final home address_ Regional growth center
FinalHomeRgcnum,10,Kent,Final home address_ Regional growth center
FinalHomeRgcnum,11,Kirkland Totem Lake,Final home address_ Regional growth center
FinalHomeRgcnum,12,Lakewood,Final home address_ Regional growth center
FinalHomeRgcnum,13,Lynnwood,Final home address_ Regional growth center
FinalHomeRgcnum,14,Puyallup Downtown,Final home address_ Regional growth center
FinalHomeRgcnum,15,Puyallup South Hill,Final home address_ Regional growth center
FinalHomeRgcnum,16,Redmond Downtown,Final home address_ Regional growth center
FinalHomeRgcnum,17,Redmond Overlake,Final home address_ Regional growth center
FinalHomeRgcnum,18,Renton,Final home address_ Regional growth center
FinalHomeRgcnum,19,SeaTac,Final home address_ Regional growth center
FinalHomeRgcnum,20,Seattle Downtown,Final home address_ Regional growth center
FinalHomeRgcnum,21,Seattle First Hill/Capitol Hill,Final home address_ Regional growth center
FinalHomeRgcnum,22,Seattle Northgate,Final home address_ Regional growth center
FinalHomeRgcnum,23,Seattle South Lake Union,Final home address_ Regional growth center
FinalHomeRgcnum,24,Seattle University Community,Final home address_ Regional growth center
FinalHomeRgcnum,25,Seattle Uptown,Final home address_ Regional growth center
FinalHomeRgcnum,26,Silverdale,Final home address_ Regional growth center
FinalHomeRgcnum,27,Tacoma Downtown,Final home address_ Regional growth center
FinalHomeRgcnum,28,Tacoma Mall,Final home address_ Regional growth center
FinalHomeRgcnum,29,Tukwila,Final home address_ Regional growth center
FinalHomeRgcnum,30,University Place,Final home address_ Regional growth center
FinalHomeUvnum,0,(None),Final home address_ Urban village
FinalHomeUvnum,1,12th Avenue,Final home address_ Urban village
FinalHomeUvnum,2,23rd & Union-Jackson,Final home address_ Urban village
FinalHomeUvnum,3,Admiral,Final home address_ Urban village
FinalHomeUvnum,4,Aurora-Licton Springs,Final home address_ Urban village
FinalHomeUvnum,5,Ballard,Final home address_ Urban village
FinalHomeUvnum,6,Ballard-Interbay-Northend,Final home address_ Urban village
FinalHomeUvnum,7,Belltown,Final home address_ Urban village
FinalHomeUvnum,8,Bitter Lake Village,Final home address_ Urban village
FinalHomeUvnum,9,Capitol Hill,Final home address_ Urban village
FinalHomeUvnum,10,Chinatown-International District,Final home address_ Urban village
FinalHomeUvnum,11,Columbia City,Final home address_ Urban village
FinalHomeUvnum,12,Commercial Core,Final home address_ Urban village
FinalHomeUvnum,13,Crown Hill,Final home address_ Urban village
FinalHomeUvnum,14,Denny Triangle,Final home address_ Urban village
FinalHomeUvnum,15,Eastlake,Final home address_ Urban village
FinalHomeUvnum,16,First Hill,Final home address_ Urban village
FinalHomeUvnum,17,Fremont,Final home address_ Urban village
FinalHomeUvnum,18,Greater Duwamish,Final home address_ Urban village
FinalHomeUvnum,19,Green Lake,Final home address_ Urban village
FinalHomeUvnum,20,Greenwood-Phinney Ridge,Final home address_ Urban village
FinalHomeUvnum,21,Lake City,Final home address_ Urban village
FinalHomeUvnum,22,Madison-Miller,Final home address_ Urban village
FinalHomeUvnum,23,Morgan Junction,Final home address_ Urban village
FinalHomeUvnum,24,North Beacon Hill,Final home address_ Urban village
FinalHomeUvnum,25,North Rainier,Final home address_ Urban village
FinalHomeUvnum,26,Northgate,Final home address_ Urban village
FinalHomeUvnum,27,Othello,Final home address_ Urban village
FinalHomeUvnum,28,Pike/Pine,Final home address_ Urban village
FinalHomeUvnum,29,Pioneer Square,Final home address_ Urban village
FinalHomeUvnum,30,Rainier Beach,Final home address_ Urban village
FinalHomeUvnum,31,Ravenna,Final home address_ Urban village
FinalHomeUvnum,32,Roosevelt,Final home address_ Urban village
FinalHomeUvnum,33,South Lake Union,Final home address_ Urban village
FinalHomeUvnum,34,South Park,Final home address_ Urban village
FinalHomeUvnum,35,University Campus,Final home address_ Urban village
FinalHomeUvnum,36,University District Northwest,Final home address_ Urban village
FinalHomeUvnum,37,Upper Queen Anne,Final home address_ Urban village
FinalHomeUvnum,38,Uptown,Final home address_ Urban village
FinalHomeUvnum,39,Wallingford,Final home address_ Urban village
FinalHomeUvnum,40,West Seattle Junction,Final home address_ Urban village
FinalHomeUvnum,41,Westwood-Highland Park,Final home address_ Urban village
Dayofweek,1,Sunday,Day of week of first travel date
Dayofweek,2,Monday,Day of week of first travel date
Dayofweek,3,Tuesday,Day of week of first travel date
Dayofweek,4,Wednesday,Day of week of first travel date
Dayofweek,5,Thursday,Day of week of first travel date
Dayofweek,6,Friday,Day of week of first travel date
Dayofweek,7,Saturday,Day of week of first travel date
HHsize,1,1 person,Household size
HHsize,2,2 people,Household size
HHsize,3,3 people,Household size
HHsize,4,4 people,Household size
HHsize,5,5 people,Household size
HHsize,6,6 people,Household size
HHsize,7,7 people,Household size
HHsize,8,8 people,Household size
HHsize,9,9 people,Household size
HHsize,10,10 people,Household size
HHsize,11,11 people,Household size
HHsize,12,12 or more people,Household size
VehicleCount,0,0 (no vehicles),Number of vehicles
VehicleCount,1,1,Number of vehicles
VehicleCount,2,2,Number of vehicles
VehicleCount,3,3,Number of vehicles
VehicleCount,4,4,Number of vehicles
VehicleCount,5,5,Number of vehicles
VehicleCount,6,6,Number of vehicles
VehicleCount,7,7,Number of vehicles
VehicleCount,8,8,Number of vehicles
VehicleCount,9,9,Number of vehicles
VehicleCount,10,10 or more vehicles,Number of vehicles
Lifecycle,1,Household includes children under 5,Household lifecycle stage
Lifecycle,2,Household includes children age 5-17,Household lifecycle stage
Lifecycle,3,"Household size = 1, Householder under age 35",Household lifecycle stage
Lifecycle,4,"Household size = 1, Householder age 35 - 64",Household lifecycle stage
Lifecycle,5,"Household size = 1, Householder age 65+",Household lifecycle stage
Lifecycle,6,"Household size > 1, Householder under age 35",Household lifecycle stage
Lifecycle,7,"Household size > 1, Householder age 35 - 64",Household lifecycle stage
Lifecycle,8,"Household size > 1, Householder age 65+",Household lifecycle stage
HHincomeDetailed,1,"Under $10,000",Household income 2016_ Detailed categories
HHincomeDetailed,2,"$10,000-$24,999",Household income 2016_ Detailed categories
HHincomeDetailed,3,"$25,000-$34,999",Household income 2016_ Detailed categories
HHincomeDetailed,4,"$35,000-$49,999",Household income 2016_ Detailed categories
HHincomeDetailed,5,"$50,000-$74,999",Household income 2016_ Detailed categories
HHincomeDetailed,6,"$75,000-$99,999",Household income 2016_ Detailed categories
HHincomeDetailed,7,"$100,000-$149,999",Household income 2016_ Detailed categories
HHincomeDetailed,8,"$150,000-$199,999",Household income 2016_ Detailed categories
HHincomeDetailed,9,"$200,000-$249,999",Household income 2016_ Detailed categories
HHincomeDetailed,10,"$250,000 or more",Household income 2016_ Detailed categories
HHincomeDetailed,11,Prefer not to answer,Household income 2016_ Detailed categories
HHincomeFollowup,1,"Under $25,000",Prefer not to answer detailed household income 2016_ Broad follow-up categories
HHincomeFollowup,2,"$25,000-$49,999",Prefer not to answer detailed household income 2016_ Broad follow-up categories
HHincomeFollowup,3,"$50,000-$74,999",Prefer not to answer detailed household income 2016_ Broad follow-up categories
HHincomeFollowup,4,"$75,000-$99,999",Prefer not to answer detailed household income 2016_ Broad follow-up categories
HHincomeFollowup,5,"$100,000 or more",Prefer not to answer detailed household income 2016_ Broad follow-up categories
HHincomeFollowup,6,Prefer not to answer,Prefer not to answer detailed household income 2016_ Broad follow-up categories
HHincomeBroad,1,"Under $25,000",Household income 2016_ Broad categories_ all respondents
HHincomeBroad,2,"$25,000-$49,999",Household income 2016_ Broad categories_ all respondents
HHincomeBroad,3,"$50,000-$74,999",Household income 2016_ Broad categories_ all respondents
HHincomeBroad,4,"$75,000-$99,999",Household income 2016_ Broad categories_ all respondents
HHincomeBroad,5,"$100,000 or more",Household income 2016_ Broad categories_ all respondents
HHincomeBroad,6,Prefer not to answer,Household income 2016_ Broad categories_ all respondents
CarShare,1,Yes,HH belongs to carshare program
CarShare,2,No,HH belongs to carshare program
RentOwn,1,Own/paying mortgage,Residence tenure status
RentOwn,2,Rent,Residence tenure status
RentOwn,3,Provided by job or military,Residence tenure status
RentOwn,4,Other,Residence tenure status
RentOwn,5,Prefer not to answer,Residence tenure status
ResDur,1,Less than a year,How long lived in current residence
ResDur,2,Between 1 and 2 years,How long lived in current residence
ResDur,3,Between 2 and 3 years,How long lived in current residence
ResDur,4,Between 3 and 5 years,How long lived in current residence
ResDur,5,Between 5 and 10 years,How long lived in current residence
ResDur,6,Between 10 and 20 years,How long lived in current residence
ResDur,7,More than 20 years,How long lived in current residence
ResType,1,Single-family house (detached house),Type of residence
ResType,2,Townhouse (attached house),Type of residence
ResType,3,Building with 3 or fewer apartments/condos,Type of residence
ResType,4,Building with 4 or more apartments/condos,Type of residence
ResType,5,Mobile home/trailer,Type of residence
ResType,6,Dorm or institutional housing,Type of residence
ResType,7,"Other (including boat, RV, van, etc.)",Type of residence
ResMonths,1,12 months,Months per year live in residence where survey invitation received
ResMonths,2,9-11 months of the year,Months per year live in residence where survey invitation received
ResMonths,3,6-8 months of the year,Months per year live in residence where survey invitation received
ResMonths,4,3-5 months of the year,Months per year live in residence where survey invitation received
ResMonths,5,Fewer than 3 months of the year,Months per year live in residence where survey invitation received
Offpark,0,0 (no spaces available),Off-street parking spaces at residence
Offpark,1,1,Off-street parking spaces at residence
Offpark,2,2,Off-street parking spaces at residence
Offpark,3,3,Off-street parking spaces at residence
Offpark,4,4,Off-street parking spaces at residence
Offpark,5,5,Off-street parking spaces at residence
Offpark,6,6,Off-street parking spaces at residence
Offpark,7,7,Off-street parking spaces at residence
Offpark,8,8,Off-street parking spaces at residence
Offpark,9,9,Off-street parking spaces at residence
Offpark,10,10 or more,Off-street parking spaces at residence
Streetpark,1,"Yes, during most times for any vehicles",On-street parking availability at_near residence
Streetpark,2,"Yes, during most times but a residential permit is required",On-street parking availability at_near residence
Streetpark,3,"No, residential on-street parking is typically difficult to find or unavailable",On-street parking availability at_near residence
Streetpark,4,I don't know,On-street parking availability at_near residence
PrevHomeWa,1,"Yes, previous home was in Washington",Moved in last 5 years_ Previous home in State of Washington (WA)
PrevHomeWa,2,"No, previous home was in another state or country",Moved in last 5 years_ Previous home in State of Washington (WA)
PrevHomeNotwaNotus,0,Not Selected,Moved in last 5 years_ Previous home address not in the US
PrevHomeNotwaNotus,1,Selected,Moved in last 5 years_ Previous home address not in the US
PrevHomeNotwaState,1,Alabama (AL),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,2,Alaska (AK),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,3,Arizona (AZ),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,4,Arkansas (AR),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,5,California (CA),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,6,Colorado (CO),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,7,Connecticut (CT),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,8,Delaware (DE),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,9,Florida (FL),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,10,Georgia (GA),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,11,Hawaii (HI),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,12,Idaho (ID),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,13,Illinois (IL),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,14,Indiana (IN),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,15,Iowa (IA),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,16,Kansas (KS),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,17,Kentucky (KY),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,18,Louisiana (LA),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,19,Maine (ME),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,20,Maryland (MD),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,21,Massachusetts (MA),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,22,Michigan (MI),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,23,Minnesota (MN),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,24,Mississippi (MS),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,25,Missouri (MO),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,26,Montana (MT),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,27,Nebraska (NE),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,28,Nevada (NV),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,29,New Hampshire (NH),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,30,New Jersey (NJ),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,31,New Mexico (NM),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,32,New York (NY),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,33,North Carolina (NC),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,34,North Dakota (ND),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,35,Ohio (OH),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,36,Oklahoma (OK),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,37,Oregon (OR),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,38,Pennsylvania (PA),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,39,Puerto Rico (PR),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,40,Rhode Island (RI),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,41,South Carolina (SC),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,42,South Dakota (SD),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,43,Tennessee (TN),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,44,Texas (TX),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,45,Utah (UT),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,46,Vermont (VT),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,47,Virginia (VA),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,48,Washington (WA),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,49,West Virginia (WV),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,50,Wisconsin (WI),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,51,Wyoming (WY),Moved in last 5 years_ Previous home address_ State
PrevHomeNotwaState,52,Washington D.C. / District of Columbia (DC),Moved in last 5 years_ Previous home address_ State
PrevRentOwn,1,Owned/paid mortgage,Moved in last 5 years_ Previous home_ Tenure status
PrevRentOwn,2,Rent,Moved in last 5 years_ Previous home_ Tenure status
PrevRentOwn,3,Provided by job or military,Moved in last 5 years_ Previous home_ Tenure status
PrevRentOwn,4,Other,Moved in last 5 years_ Previous home_ Tenure status
PrevRentOwn,5,Prefer not to answer,Moved in last 5 years_ Previous home_ Tenure status
PrevResType,1,Single-family house (detached house),Moved in last 5 years_ Previous home_ Residence type
PrevResType,2,Townhouse (attached house),Moved in last 5 years_ Previous home_ Residence type
PrevResType,3,Building with 3 or fewer apartments/condos,Moved in last 5 years_ Previous home_ Residence type
PrevResType,4,Building with 4 or more apartments/condos,Moved in last 5 years_ Previous home_ Residence type
PrevResType,5,Mobile home/trailer,Moved in last 5 years_ Previous home_ Residence type
PrevResType,6,Dorm or institutional housing,Moved in last 5 years_ Previous home_ Residence type
PrevResType,7,"Other (including boat, RV, van, etc.)",Moved in last 5 years_ Previous home_ Residence type
ResFactors_30min,1,Very unimportant,How important when chose current home_ Being within a 30-minute commute to work
ResFactors_30min,2,Somewhat unimportant,How important when chose current home_ Being within a 30-minute commute to work
ResFactors_30min,3,Neither or N/A,How important when chose current home_ Being within a 30-minute commute to work
ResFactors_30min,4,Somewhat important,How important when chose current home_ Being within a 30-minute commute to work
ResFactors_30min,5,Very important,How important when chose current home_ Being within a 30-minute commute to work
ResFactorsAfford,1,Very unimportant,How important when chose current home_ Affordability
ResFactorsAfford,2,Somewhat unimportant,How important when chose current home_ Affordability
ResFactorsAfford,3,Neither or N/A,How important when chose current home_ Affordability
ResFactorsAfford,4,Somewhat important,How important when chose current home_ Affordability
ResFactorsAfford,5,Very important,How important when chose current home_ Affordability
ResFactorsClosefam,1,Very unimportant,How important when chose current home_ Being close to family or friends
ResFactorsClosefam,2,Somewhat unimportant,How important when chose current home_ Being close to family or friends
ResFactorsClosefam,3,Neither or N/A,How important when chose current home_ Being close to family or friends
ResFactorsClosefam,4,Somewhat important,How important when chose current home_ Being close to family or friends
ResFactorsClosefam,5,Very important,How important when chose current home_ Being close to family or friends
ResFactorsHHchange,1,Very unimportant,How important when chose current home_ A change in family size or marital_ partner status
ResFactorsHHchange,2,Somewhat unimportant,How important when chose current home_ A change in family size or marital_ partner status
ResFactorsHHchange,3,Neither or N/A,How important when chose current home_ A change in family size or marital_ partner status
ResFactorsHHchange,4,Somewhat important,How important when chose current home_ A change in family size or marital_ partner status
ResFactorsHHchange,5,Very important,How important when chose current home_ A change in family size or marital_ partner status
ResFactorsHwy,1,Very unimportant,How important when chose current home_ Being close to the highway
ResFactorsHwy,2,Somewhat unimportant,How important when chose current home_ Being close to the highway
ResFactorsHwy,3,Neither or N/A,How important when chose current home_ Being close to the highway
ResFactorsHwy,4,Somewhat important,How important when chose current home_ Being close to the highway
ResFactorsHwy,5,Very important,How important when chose current home_ Being close to the highway
ResFactorsSchool,1,Very unimportant,How important when chose current home_ Quality of schools (K-12)
ResFactorsSchool,2,Somewhat unimportant,How important when chose current home_ Quality of schools (K-12)
ResFactorsSchool,3,Neither or N/A,How important when chose current home_ Quality of schools (K-12)
ResFactorsSchool,4,Somewhat important,How important when chose current home_ Quality of schools (K-12)
ResFactorsSchool,5,Very important,How important when chose current home_ Quality of schools (K-12)
ResFactorsSpace,1,Very unimportant,How important when chose current home_ Having space & separation from others
ResFactorsSpace,2,Somewhat unimportant,How important when chose current home_ Having space & separation from others
ResFactorsSpace,3,Neither or N/A,How important when chose current home_ Having space & separation from others
ResFactorsSpace,4,Somewhat important,How important when chose current home_ Having space & separation from others
ResFactorsSpace,5,Very important,How important when chose current home_ Having space & separation from others
ResFactorsTransit,1,Very unimportant,How important when chose current home_ Being close to public transit
ResFactorsTransit,2,Somewhat unimportant,How important when chose current home_ Being close to public transit
ResFactorsTransit,3,Neither or N/A,How important when chose current home_ Being close to public transit
ResFactorsTransit,4,Somewhat important,How important when chose current home_ Being close to public transit
ResFactorsTransit,5,Very important,How important when chose current home_ Being close to public transit
ResFactorsWalk,1,Very unimportant,How important when chose current home_ Having a walkable neighborhood and being near local activities
ResFactorsWalk,2,Somewhat unimportant,How important when chose current home_ Having a walkable neighborhood and being near local activities
ResFactorsWalk,3,Neither or N/A,How important when chose current home_ Having a walkable neighborhood and being near local activities
ResFactorsWalk,4,Somewhat important,How important when chose current home_ Having a walkable neighborhood and being near local activities
ResFactorsWalk,5,Very important,How important when chose current home_ Having a walkable neighborhood and being near local activities
RmoveOptin,1,Selected rMove when offered,rMove offer response
RmoveOptin,2,Declined rMove when offered,rMove offer response
DiaryIncentiveType,1,Amazon e-gift card (delivered by email),rSurvey only_ Incentive type
DiaryIncentiveType,2,Starbucks e-gift card (delivered by email),rSurvey only_ Incentive type
DiaryIncentiveType,3,Amazon mailed gift card (will take longer to arrive),rSurvey only_ Incentive type
DiaryIncentiveType,4,Starbucks mailed gift card (will take longer to arrive),rSurvey only_ Incentive type
DiaryIncentiveType,5,None - prefer not to receive a gift card,rSurvey only_ Incentive type
ExtraIncentive,0,No extra incentive offered,Extra incentive
ExtraIncentive,1,Received extra incentive,Extra incentive
CallCenter,0,No,Household completed Part 1 (recruit survey) through the call center
CallCenter,1,Yes,Household completed Part 1 (recruit survey) through the call center
MobileDevice,0,No,Household completed Part 1 (recruit survey) on a mobile device
MobileDevice,1,Yes,Household completed Part 1 (recruit survey) on a mobile device
ContactEmail,0,Not Selected,Household requested email reminders
ContactEmail,1,Selected,Household requested email reminders
ContactPhone,0,Not Selected,Household requested phone reminders
ContactPhone,1,Selected,Household requested phone reminders
ForeignLanguage,0,No,Detected foreign language browser during Part 1 (recruit survey)
ForeignLanguage,1,Yes,Detected foreign language browser during Part 1 (recruit survey)
GoogleTranslate,0,No,Detected Google translate tool during Part 1 (recruit survey)
GoogleTranslate,1,Yes,Detected Google translate tool during Part 1 (recruit survey)
Numdayscomplete,1,1 day,Household number of days complete
Numdayscomplete,2,2 days,Household number of days complete
Numdayscomplete,3,3 days,Household number of days complete
Numdayscomplete,4,4 days,Household number of days complete
Numdayscomplete,5,5 days,Household number of days complete
Numdayscomplete,6,6 days,Household number of days complete
Numdayscomplete,7,7 days,Household number of days complete
Day1complete,0,No,Household completed day 1 of study
Day1complete,1,Yes,Household completed day 1 of study
Day2complete,0,No,rMove only_ Household completed day 2 of study
Day2complete,1,Yes,rMove only_ Household completed day 2 of study
Day3complete,0,No,rMove only_ Household completed day 3 of study
Day3complete,1,Yes,rMove only_ Household completed day 3 of study
Day4complete,0,No,rMove only_ Household completed day 4 of study
Day4complete,1,Yes,rMove only_ Household completed day 4 of study
Day5complete,0,No,rMove only_ Household completed day 5 of study
Day5complete,1,Yes,rMove only_ Household completed day 5 of study
Day6complete,0,No,rMove only_ Household completed day 6 of study
Day6complete,1,Yes,rMove only_ Household completed day 6 of study
Day7complete,0,No,rMove only_ Household completed day 7 of study
Day7complete,1,Yes,rMove only_ Household completed day 7 of study
NumTrips,0,0 (no trips),Household number of trips
Nwkdays,0,0 day,Number of weekdays (Mon-Thu) for weighting
Nwkdays,1,1 day,Number of weekdays (Mon-Thu) for weighting
