Variable,ValueOrder,ValueText,VariableName,ValueGroup1
FinalHomePuma10,11501,Pierce County (Central)--Tacoma City (Central) PUMA,Final home address: PUMA 2010,Pierce County
FinalHomePuma10,11502,Pierce County (Northwest)--Peninsula Region & Tacoma City (West) PUMA,Final home address: PUMA 2010,Pierce County
FinalHomePuma10,11503,Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA,Final home address: PUMA 2010,Pierce County
FinalHomePuma10,11504,"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA",Final home address: PUMA 2010,Pierce County
FinalHomePuma10,11505,Pierce County (North Central)--Tacoma (Port) & Bonney Lake (Northwest) Cities PUMA,Final home address: PUMA 2010,Pierce County
FinalHomePuma10,11506,Pierce County (East Central)--Puyallup City & South Hill PUMA,Final home address: PUMA 2010,Pierce County
FinalHomePuma10,11507,"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge PUMA",Final home address: PUMA 2010,Pierce County
FinalHomePuma10,11601,Seattle City (Northwest) PUMA,Final home address: PUMA 2010,Seattle City
FinalHomePuma10,11602,Seattle City (Northeast) PUMA,Final home address: PUMA 2010,Seattle City
FinalHomePuma10,11603,Seattle City (Downtown)--Queen Anne & Magnolia PUMA,Final home address: PUMA 2010,Seattle City
FinalHomePuma10,11604,Seattle City (Southeast)--Capitol Hill PUMA,Final home address: PUMA 2010,Seattle City
FinalHomePuma10,11605,Seattle City (West)--Duwamish & Beacon Hill PUMA,Final home address: PUMA 2010,Seattle City
FinalHomePuma10,11606,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA",Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11607,"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA",Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11608,King County (Northwest Central)--Greater Bellevue City PUMA,Final home address: PUMA 2010,Bellevue City
FinalHomePuma10,11609,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA",Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11610,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA",Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11611,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA",Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11612,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA",Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11613,King County (Southwest Central)--Kent City PUMA,Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11614,King County (Southwest)--Auburn City & Lakeland PUMA,Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11615,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA",Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11616,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA",Final home address: PUMA 2010,"King County - Not Seattle, Bellevue"
FinalHomePuma10,11701,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities PUMA",Final home address: PUMA 2010,Snohomish County
FinalHomePuma10,11702,Snohomish County (West Central)--Mukilteo & Everett (Southwest) Cities PUMA,Final home address: PUMA 2010,Snohomish County
FinalHomePuma10,11703,Snohomish County (Central)--Everett City (Central & East) & Eastmont PUMA,Final home address: PUMA 2010,Snohomish County
FinalHomePuma10,11704,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs PUMA",Final home address: PUMA 2010,Snohomish County
FinalHomePuma10,11705,Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities PUMA,Final home address: PUMA 2010,Snohomish County
FinalHomePuma10,11706,Snohomish County (North)--Marysville & Arlington Cities PUMA,Final home address: PUMA 2010,Snohomish County
FinalHomePuma10,11801,Kitsap County (North)--Bainbridge Island City & Silverdale PUMA,Final home address: PUMA 2010,Kitsap County
FinalHomePuma10,11802,Kitsap County (South)--Bremerton & Port Orchard Cities PUMA,Final home address: PUMA 2010,Kitsap County
FinalHomeRgcnum,1,Not RCG,Final home address: Regional growth center,Not Regional Growth Center
FinalHomeRgcnum,2,Auburn,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,3,Bellevue Downtown,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,4,Bothell Canyon Park,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,5,Bremerton,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,6,Burien,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,7,Everett,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,8,Federal Way,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,9,Issaquah,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,10,Kent,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,11,Kirkland Totem Lake,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,12,Lakewood,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,13,Lynnwood,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,14,Puyallup Downtown,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,15,Puyallup South Hill,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,16,Redmond Downtown,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,17,Redmond Overlake,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,18,Renton,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,19,SeaTac,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,20,Seattle Downtown,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,21,Seattle First Hill/Capitol Hill,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,22,Seattle Northgate,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,23,Seattle South Lake Union,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,24,Seattle University Community,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,25,Seattle Uptown,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,26,Silverdale,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,27,Tacoma Downtown,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,28,Tacoma Mall,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,29,Tukwila,Final home address: Regional growth center,Regional Growth Center
FinalHomeRgcnum,30,University Place,Final home address: Regional growth center,Regional Growth Center
FinalHomeUvnum,0,(None),Final home address: Urban village,Not Urban Village
FinalHomeUvnum,1,12th Avenue,Final home address: Urban village,Urban Village
FinalHomeUvnum,2,23rd & Union-Jackson,Final home address: Urban village,Urban Village
FinalHomeUvnum,3,Admiral,Final home address: Urban village,Urban Village
FinalHomeUvnum,4,Aurora-Licton Springs,Final home address: Urban village,Urban Village
FinalHomeUvnum,5,Ballard,Final home address: Urban village,Urban Village
FinalHomeUvnum,6,Ballard-Interbay-Northend,Final home address: Urban village,Urban Village
FinalHomeUvnum,7,Belltown,Final home address: Urban village,Urban Village
FinalHomeUvnum,8,Bitter Lake Village,Final home address: Urban village,Urban Village
FinalHomeUvnum,9,Capitol Hill,Final home address: Urban village,Urban Village
FinalHomeUvnum,10,Chinatown-International District,Final home address: Urban village,Urban Village
FinalHomeUvnum,11,Columbia City,Final home address: Urban village,Urban Village
FinalHomeUvnum,12,Commercial Core,Final home address: Urban village,Urban Village
FinalHomeUvnum,13,Crown Hill,Final home address: Urban village,Urban Village
FinalHomeUvnum,14,Denny Triangle,Final home address: Urban village,Urban Village
FinalHomeUvnum,15,Eastlake,Final home address: Urban village,Urban Village
FinalHomeUvnum,16,First Hill,Final home address: Urban village,Urban Village
FinalHomeUvnum,17,Fremont,Final home address: Urban village,Urban Village
FinalHomeUvnum,18,Greater Duwamish,Final home address: Urban village,Urban Village
FinalHomeUvnum,19,Green Lake,Final home address: Urban village,Urban Village
FinalHomeUvnum,20,Greenwood-Phinney Ridge,Final home address: Urban village,Urban Village
FinalHomeUvnum,21,Lake City,Final home address: Urban village,Urban Village
FinalHomeUvnum,22,Madison-Miller,Final home address: Urban village,Urban Village
FinalHomeUvnum,23,Morgan Junction,Final home address: Urban village,Urban Village
FinalHomeUvnum,24,North Beacon Hill,Final home address: Urban village,Urban Village
FinalHomeUvnum,25,North Rainier,Final home address: Urban village,Urban Village
FinalHomeUvnum,26,Northgate,Final home address: Urban village,Urban Village
FinalHomeUvnum,27,Othello,Final home address: Urban village,Urban Village
FinalHomeUvnum,28,Pike/Pine,Final home address: Urban village,Urban Village
FinalHomeUvnum,29,Pioneer Square,Final home address: Urban village,Urban Village
FinalHomeUvnum,30,Rainier Beach,Final home address: Urban village,Urban Village
FinalHomeUvnum,31,Ravenna,Final home address: Urban village,Urban Village
FinalHomeUvnum,32,Roosevelt,Final home address: Urban village,Urban Village
FinalHomeUvnum,33,South Lake Union,Final home address: Urban village,Urban Village
FinalHomeUvnum,34,South Park,Final home address: Urban village,Urban Village
FinalHomeUvnum,35,University Campus,Final home address: Urban village,Urban Village
FinalHomeUvnum,36,University District Northwest,Final home address: Urban village,Urban Village
FinalHomeUvnum,37,Upper Queen Anne,Final home address: Urban village,Urban Village
FinalHomeUvnum,38,Uptown,Final home address: Urban village,Urban Village
FinalHomeUvnum,39,Wallingford,Final home address: Urban village,Urban Village
FinalHomeUvnum,40,West Seattle Junction,Final home address: Urban village,Urban Village
FinalHomeUvnum,41,Westwood-Highland Park,Final home address: Urban village,Urban Village
Dayofweek,1,Sunday,Day of week of first travel date,Weekend
Dayofweek,2,Monday,Day of week of first travel date,Weekday
Dayofweek,3,Tuesday,Day of week of first travel date,Weekday
Dayofweek,4,Wednesday,Day of week of first travel date,Weekday
Dayofweek,5,Thursday,Day of week of first travel date,Weekday
Dayofweek,6,Friday,Day of week of first travel date,Weekday
Dayofweek,7,Saturday,Day of week of first travel date,Weekend
HHsize,1,1 person,Household size,1 person
HHsize,2,2 people,Household size,2 person
HHsize,3,3 people,Household size,3 person
HHsize,4,4 people,Household size,4+ person
HHsize,5,5 people,Household size,4+ person
HHsize,6,6 people,Household size,4+ person
HHsize,7,7 people,Household size,4+ person
HHsize,8,8 people,Household size,4+ person
HHsize,9,9 people,Household size,4+ person
HHsize,10,10 people,Household size,4+ person
HHsize,11,11 people,Household size,4+ person
HHsize,12,12 or more people,Household size,4+ person
VehicleCount,0,0 (no vehicles),Number of vehicles,0
VehicleCount,1,1,Number of vehicles,1
VehicleCount,2,2,Number of vehicles,2
VehicleCount,3,3,Number of vehicles,3+
VehicleCount,4,4,Number of vehicles,3+
VehicleCount,5,5,Number of vehicles,3+
VehicleCount,6,6,Number of vehicles,3+
VehicleCount,7,7,Number of vehicles,3+
VehicleCount,8,8,Number of vehicles,3+
VehicleCount,9,9,Number of vehicles,3+
VehicleCount,10,10 or more vehicles,Number of vehicles,3+
Lifecycle,1,Household includes children under 5,Household lifecycle stage,Household includes children
Lifecycle,2,Household includes children age 5-17,Household lifecycle stage,Household includes children
Lifecycle,3,"Household size = 1, Householder under age 35",Household lifecycle stage,Household Size 1
Lifecycle,4,"Household size = 1, Householder age 35 - 64",Household lifecycle stage,Household Size 1
Lifecycle,5,"Household size = 1, Householder age 65+",Household lifecycle stage,Household Size 1
Lifecycle,6,"Household size > 1, Householder under age 35",Household lifecycle stage,"Household Size>1, no children"
Lifecycle,7,"Household size > 1, Householder age 35 - 64",Household lifecycle stage,"Household Size>1, no children"
Lifecycle,8,"Household size > 1, Householder age 65+",Household lifecycle stage,"Household Size>1, no children"
HHincomeDetailed,1,"Under $10,000",Household income 2016: Detailed categories,"Under $10,000"
HHincomeDetailed,2,"$10,000-$24,999",Household income 2016: Detailed categories,"$10,000-$24,999"
HHincomeDetailed,3,"$25,000-$34,999",Household income 2016: Detailed categories,"$25,000-$34,999"
HHincomeDetailed,4,"$35,000-$49,999",Household income 2016: Detailed categories,"$35,000-$49,999"
HHincomeDetailed,5,"$50,000-$74,999",Household income 2016: Detailed categories,"$50,000-$74,999"
HHincomeDetailed,6,"$75,000-$99,999",Household income 2016: Detailed categories,"$75,000-$99,999"
HHincomeDetailed,7,"$100,000-$149,999",Household income 2016: Detailed categories,"$100,000-$149,999"
HHincomeDetailed,8,"$150,000-$199,999",Household income 2016: Detailed categories,"$150,000-$199,999"
HHincomeDetailed,9,"$200,000-$249,999",Household income 2016: Detailed categories,"$200,000-$249,999"
HHincomeDetailed,10,"$250,000 or more",Household income 2016: Detailed categories,"$250,000 or more"
HHincomeDetailed,11,Prefer not to answer,Household income 2016: Detailed categories,Prefer not to answer
HHincomeFollowup,1,"Under $25,000",Prefer not to answer detailed household income 2016: Broad follow-up categories,"Under $25,000"
HHincomeFollowup,2,"$25,000-$49,999",Prefer not to answer detailed household income 2016: Broad follow-up categories,"$25,000-$49,999"
HHincomeFollowup,3,"$50,000-$74,999",Prefer not to answer detailed household income 2016: Broad follow-up categories,"$50,000-$74,999"
HHincomeFollowup,4,"$75,000-$99,999",Prefer not to answer detailed household income 2016: Broad follow-up categories,"$75,000-$99,999"
HHincomeFollowup,5,"$100,000 or more",Prefer not to answer detailed household income 2016: Broad follow-up categories,"$100,000 or more"
HHincomeFollowup,6,Prefer not to answer,Prefer not to answer detailed household income 2016: Broad follow-up categories,Prefer not to answer
HHincomeBroad,1,"Under $25,000","Household income 2016: Broad categories, all respondents","Under $25,000"
HHincomeBroad,2,"$25,000-$49,999","Household income 2016: Broad categories, all respondents","$25,000-$49,999"
HHincomeBroad,3,"$50,000-$74,999","Household income 2016: Broad categories, all respondents","$50,000-$74,999"
HHincomeBroad,4,"$75,000-$99,999","Household income 2016: Broad categories, all respondents","$75,000-$99,999"
HHincomeBroad,5,"$100,000 or more","Household income 2016: Broad categories, all respondents","$100,000 or more"
HHincomeBroad,6,Prefer not to answer,"Household income 2016: Broad categories, all respondents",Prefer not to answer
CarShare,1,Yes,HH belongs to carshare program,Yes
CarShare,2,No,HH belongs to carshare program,No
RentOwn,1,Own/paying mortgage,Residence tenure status,Own/paying mortgage
RentOwn,2,Rent,Residence tenure status,Rent
RentOwn,3,Provided by job or military,Residence tenure status,Provided by job or military
RentOwn,4,Other,Residence tenure status,Other
RentOwn,5,Prefer not to answer,Residence tenure status,Prefer not to answer
ResDur,1,Less than a year,How long lived in current residence,Less than a year
ResDur,2,Between 1 and 2 years,How long lived in current residence,Between 1 and 2 years
ResDur,3,Between 2 and 3 years,How long lived in current residence,Between 2 and 3 years
ResDur,4,Between 3 and 5 years,How long lived in current residence,Between 3 and 5 years
ResDur,5,Between 5 and 10 years,How long lived in current residence,Between 5 and 10 years
ResDur,6,Between 10 and 20 years,How long lived in current residence,Between 10 and 20 years
ResDur,7,More than 20 years,How long lived in current residence,More than 20 years
ResType,1,Single-family house (detached house),Type of residence,Single-family house (detached house)
ResType,2,Townhouse (attached house),Type of residence,Townhouse (attached house)
ResType,3,Building with 3 or fewer apartments/condos,Type of residence,Building with 3 or fewer apartments/condos
ResType,4,Building with 4 or more apartments/condos,Type of residence,Building with 4 or more apartments/condos
ResType,5,Mobile home/trailer,Type of residence,Mobile home/trailer
ResType,6,Dorm or institutional housing,Type of residence,Dorm or institutional housing
ResType,7,"Other (including boat, RV, van, etc.)",Type of residence,"Other (including boat, RV, van, etc.)"
ResMonths,1,12 months,Months per year live in residence where survey invitation received,12 months
ResMonths,2,9-11 months of the year,Months per year live in residence where survey invitation received,9-11 months of the year
ResMonths,3,6-8 months of the year,Months per year live in residence where survey invitation received,6-8 months of the year
ResMonths,4,3-5 months of the year,Months per year live in residence where survey invitation received,3-5 months of the year
ResMonths,5,Fewer than 3 months of the year,Months per year live in residence where survey invitation received,Fewer than 3 months of the year
Offpark,0,0 (no spaces available),Off-street parking spaces at residence,0 (no spaces available)
Offpark,1,1,Off-street parking spaces at residence,1
Offpark,2,2,Off-street parking spaces at residence,2
Offpark,3,3,Off-street parking spaces at residence,3
Offpark,4,4,Off-street parking spaces at residence,4
Offpark,5,5,Off-street parking spaces at residence,5
Offpark,6,6,Off-street parking spaces at residence,6
Offpark,7,7,Off-street parking spaces at residence,7
Offpark,8,8,Off-street parking spaces at residence,8
Offpark,9,9,Off-street parking spaces at residence,9
Offpark,10,10 or more,Off-street parking spaces at residence,10 or more
Streetpark,1,"Yes, during most times for any vehicles",On-street parking availability at/near residence,"Yes, during most times for any vehicles"
Streetpark,2,"Yes, during most times but a residential permit is required",On-street parking availability at/near residence,"Yes, during most times but a residential permit is required"
Streetpark,3,"No, residential on-street parking is typically difficult to find or unavailable",On-street parking availability at/near residence,"No, residential on-street parking is typically difficult to find or unavailable"
Streetpark,4,I don't know,On-street parking availability at/near residence,I don't know
PrevHomeWa,1,"Yes, previous home was in Washington",Moved in last 5 years: Previous home in State of Washington (WA),"Yes, previous home was in Washington"
PrevHomeWa,2,"No, previous home was in another state or country",Moved in last 5 years: Previous home in State of Washington (WA),"No, previous home was in another state or country"
PrevHomeNotwaNotus,0,Not Selected,Moved in last 5 years: Previous home address not in the US,Not Selected
PrevHomeNotwaNotus,1,Selected,Moved in last 5 years: Previous home address not in the US,Selected
PrevHomeNotwaState,1,Alabama (AL),Moved in last 5 years: Previous home address: State,Alabama (AL)
PrevHomeNotwaState,2,Alaska (AK),Moved in last 5 years: Previous home address: State,Alaska (AK)
PrevHomeNotwaState,3,Arizona (AZ),Moved in last 5 years: Previous home address: State,Arizona (AZ)
PrevHomeNotwaState,4,Arkansas (AR),Moved in last 5 years: Previous home address: State,Arkansas (AR)
PrevHomeNotwaState,5,California (CA),Moved in last 5 years: Previous home address: State,California (CA)
PrevHomeNotwaState,6,Colorado (CO),Moved in last 5 years: Previous home address: State,Colorado (CO)
PrevHomeNotwaState,7,Connecticut (CT),Moved in last 5 years: Previous home address: State,Connecticut (CT)
PrevHomeNotwaState,8,Delaware (DE),Moved in last 5 years: Previous home address: State,Delaware (DE)
PrevHomeNotwaState,9,Florida (FL),Moved in last 5 years: Previous home address: State,Florida (FL)
PrevHomeNotwaState,10,Georgia (GA),Moved in last 5 years: Previous home address: State,Georgia (GA)
PrevHomeNotwaState,11,Hawaii (HI),Moved in last 5 years: Previous home address: State,Hawaii (HI)
PrevHomeNotwaState,12,Idaho (ID),Moved in last 5 years: Previous home address: State,Idaho (ID)
PrevHomeNotwaState,13,Illinois (IL),Moved in last 5 years: Previous home address: State,Illinois (IL)
PrevHomeNotwaState,14,Indiana (IN),Moved in last 5 years: Previous home address: State,Indiana (IN)
PrevHomeNotwaState,15,Iowa (IA),Moved in last 5 years: Previous home address: State,Iowa (IA)
PrevHomeNotwaState,16,Kansas (KS),Moved in last 5 years: Previous home address: State,Kansas (KS)
PrevHomeNotwaState,17,Kentucky (KY),Moved in last 5 years: Previous home address: State,Kentucky (KY)
PrevHomeNotwaState,18,Louisiana (LA),Moved in last 5 years: Previous home address: State,Louisiana (LA)
PrevHomeNotwaState,19,Maine (ME),Moved in last 5 years: Previous home address: State,Maine (ME)
PrevHomeNotwaState,20,Maryland (MD),Moved in last 5 years: Previous home address: State,Maryland (MD)
PrevHomeNotwaState,21,Massachusetts (MA),Moved in last 5 years: Previous home address: State,Massachusetts (MA)
PrevHomeNotwaState,22,Michigan (MI),Moved in last 5 years: Previous home address: State,Michigan (MI)
PrevHomeNotwaState,23,Minnesota (MN),Moved in last 5 years: Previous home address: State,Minnesota (MN)
PrevHomeNotwaState,24,Mississippi (MS),Moved in last 5 years: Previous home address: State,Mississippi (MS)
PrevHomeNotwaState,25,Missouri (MO),Moved in last 5 years: Previous home address: State,Missouri (MO)
PrevHomeNotwaState,26,Montana (MT),Moved in last 5 years: Previous home address: State,Montana (MT)
PrevHomeNotwaState,27,Nebraska (NE),Moved in last 5 years: Previous home address: State,Nebraska (NE)
PrevHomeNotwaState,28,Nevada (NV),Moved in last 5 years: Previous home address: State,Nevada (NV)
PrevHomeNotwaState,29,New Hampshire (NH),Moved in last 5 years: Previous home address: State,New Hampshire (NH)
PrevHomeNotwaState,30,New Jersey (NJ),Moved in last 5 years: Previous home address: State,New Jersey (NJ)
PrevHomeNotwaState,31,New Mexico (NM),Moved in last 5 years: Previous home address: State,New Mexico (NM)
PrevHomeNotwaState,32,New York (NY),Moved in last 5 years: Previous home address: State,New York (NY)
PrevHomeNotwaState,33,North Carolina (NC),Moved in last 5 years: Previous home address: State,North Carolina (NC)
PrevHomeNotwaState,34,North Dakota (ND),Moved in last 5 years: Previous home address: State,North Dakota (ND)
PrevHomeNotwaState,35,Ohio (OH),Moved in last 5 years: Previous home address: State,Ohio (OH)
PrevHomeNotwaState,36,Oklahoma (OK),Moved in last 5 years: Previous home address: State,Oklahoma (OK)
PrevHomeNotwaState,37,Oregon (OR),Moved in last 5 years: Previous home address: State,Oregon (OR)
PrevHomeNotwaState,38,Pennsylvania (PA),Moved in last 5 years: Previous home address: State,Pennsylvania (PA)
PrevHomeNotwaState,39,Puerto Rico (PR),Moved in last 5 years: Previous home address: State,Puerto Rico (PR)
PrevHomeNotwaState,40,Rhode Island (RI),Moved in last 5 years: Previous home address: State,Rhode Island (RI)
PrevHomeNotwaState,41,South Carolina (SC),Moved in last 5 years: Previous home address: State,South Carolina (SC)
PrevHomeNotwaState,42,South Dakota (SD),Moved in last 5 years: Previous home address: State,South Dakota (SD)
PrevHomeNotwaState,43,Tennessee (TN),Moved in last 5 years: Previous home address: State,Tennessee (TN)
PrevHomeNotwaState,44,Texas (TX),Moved in last 5 years: Previous home address: State,Texas (TX)
PrevHomeNotwaState,45,Utah (UT),Moved in last 5 years: Previous home address: State,Utah (UT)
PrevHomeNotwaState,46,Vermont (VT),Moved in last 5 years: Previous home address: State,Vermont (VT)
PrevHomeNotwaState,47,Virginia (VA),Moved in last 5 years: Previous home address: State,Virginia (VA)
PrevHomeNotwaState,48,Washington (WA),Moved in last 5 years: Previous home address: State,Washington (WA)
PrevHomeNotwaState,49,West Virginia (WV),Moved in last 5 years: Previous home address: State,West Virginia (WV)
PrevHomeNotwaState,50,Wisconsin (WI),Moved in last 5 years: Previous home address: State,Wisconsin (WI)
PrevHomeNotwaState,51,Wyoming (WY),Moved in last 5 years: Previous home address: State,Wyoming (WY)
PrevHomeNotwaState,52,Washington D.C. / District of Columbia (DC),Moved in last 5 years: Previous home address: State,Washington D.C. / District of Columbia (DC)
PrevRentOwn,1,Owned/paid mortgage,Moved in last 5 years: Previous home: Tenure status,Owned/paid mortgage
PrevRentOwn,2,Rent,Moved in last 5 years: Previous home: Tenure status,Rent
PrevRentOwn,3,Provided by job or military,Moved in last 5 years: Previous home: Tenure status,Provided by job or military
PrevRentOwn,4,Other,Moved in last 5 years: Previous home: Tenure status,Other
PrevRentOwn,5,Prefer not to answer,Moved in last 5 years: Previous home: Tenure status,Prefer not to answer
PrevResType,1,Single-family house (detached house),Moved in last 5 years: Previous home: Residence type,Single-family house (detached house)
PrevResType,2,Townhouse (attached house),Moved in last 5 years: Previous home: Residence type,Townhouse (attached house)
PrevResType,3,Building with 3 or fewer apartments/condos,Moved in last 5 years: Previous home: Residence type,Building with 3 or fewer apartments/condos
PrevResType,4,Building with 4 or more apartments/condos,Moved in last 5 years: Previous home: Residence type,Building with 4 or more apartments/condos
PrevResType,5,Mobile home/trailer,Moved in last 5 years: Previous home: Residence type,Mobile home/trailer
PrevResType,6,Dorm or institutional housing,Moved in last 5 years: Previous home: Residence type,Dorm or institutional housing
PrevResType,7,"Other (including boat, RV, van, etc.)",Moved in last 5 years: Previous home: Residence type,"Other (including boat, RV, van, etc.)"
ResFactors30min,1,Very unimportant,How important when chose current home: Being within a 30-minute commute to work,Very unimportant
ResFactors30min,2,Somewhat unimportant,How important when chose current home: Being within a 30-minute commute to work,Somewhat unimportant
ResFactors30min,3,Neither or N/A,How important when chose current home: Being within a 30-minute commute to work,Neither or N/A
ResFactors30min,4,Somewhat important,How important when chose current home: Being within a 30-minute commute to work,Somewhat important
ResFactors30min,5,Very important,How important when chose current home: Being within a 30-minute commute to work,Very important
ResFactorsAfford,1,Very unimportant,How important when chose current home: Affordability,Very unimportant
ResFactorsAfford,2,Somewhat unimportant,How important when chose current home: Affordability,Somewhat unimportant
ResFactorsAfford,3,Neither or N/A,How important when chose current home: Affordability,Neither or N/A
ResFactorsAfford,4,Somewhat important,How important when chose current home: Affordability,Somewhat important
ResFactorsAfford,5,Very important,How important when chose current home: Affordability,Very important
ResFactorsClosefam,1,Very unimportant,How important when chose current home: Being close to family or friends,Very unimportant
ResFactorsClosefam,2,Somewhat unimportant,How important when chose current home: Being close to family or friends,Somewhat unimportant
ResFactorsClosefam,3,Neither or N/A,How important when chose current home: Being close to family or friends,Neither or N/A
ResFactorsClosefam,4,Somewhat important,How important when chose current home: Being close to family or friends,Somewhat important
ResFactorsClosefam,5,Very important,How important when chose current home: Being close to family or friends,Very important
ResFactorsHHchange,1,Very unimportant,How important when chose current home: A change in family size or marital/ partner status,Very unimportant
ResFactorsHHchange,2,Somewhat unimportant,How important when chose current home: A change in family size or marital/ partner status,Somewhat unimportant
ResFactorsHHchange,3,Neither or N/A,How important when chose current home: A change in family size or marital/ partner status,Neither or N/A
