Variables,Name,Category,Table,Detail
Wpktyp,Work Parking Location,Worker,Person,Survey Question: Usual parking location at work?
Workpass,Work Parking Payment Method,Worker,Person,"Usual pay or use a pass to park at work, if usually drive alone or carpool"
JobsCount,Number of Jobs,Worker,Person,Number of Jobs
WorkCounty,Work County,Worker,Person,Work County
PrevWorkCounty,Previous Work County,Worker,Person,Previous Work County
Benefits1,Flextime,Worker,Person,Survey Question: Does your employer offer flextime?
Benefits2,Compressed Week,Worker,Person,Survey Question: Does your employer offer a compressed work week?
Benefits3,Free/partially subsidized passes/fares,Worker,Person,Survey Question: Does your employer offer free or partially subsidized transit passes?
Benefits4,Other subsidized commute,Worker,Person,"Survey Question: Does your employer offer other subsidized commuter benefits (vanpooling, bike storage)?"
Student,Student Status,Student,Person,Survey Question: Currently a student?
Schooltype,School Type,Student,Person,Type of school attended
SchoolLocCounty,School County,Student,Person,School County
HHSize,Household Size,Household,Household,Survey Question: How many total people (including yourself) currently live in your household?
VehicleCount,Number of Vehicles,Household,Household,"Survey Question: How many motor vehicles (in working order) are in your household? Includes cars, trucks, SUVs, vans, RVs and motorcylcles"
SampleCounty,County,Household,Household,Home County
ResDur,Length of Residence,Household,Household,Survey Question: How long have you lived at your current residence?
RentOwn,Rent or Own Home,Household,Household,Survey Question: Do you rent or own your current residence?
ResType,Type of Residence,Household,Household,Survey Question: What type of place is your current residence?
PrevHomeWa,Previous Home (WA),Household,Household,"Was your previous home located in the state of Washington, if lived in residence <= 5 years"
HHincomeBroad,Household Income Group,Household,Household,"Household Income Group, in broad categories"
Lifecycle,Household Life Cycle,Household,Household,Household Life Cycle stage
CarShare,Carshare,Household,Household,Survey Question: Is anyone in your household a member of a car share program?
HHGroup,Survey Type,Household,Household,Respondents could take the survey via an app or online
FinalHomePuma10,Home Address PUMA 2010,Household,Household,Home Address PUMA 2010
ResFactors30min,Being within a 30-minute commute to work,Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
ResFactorsAfford,Affordability,Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
ResFactorsCloseFam,Being close to family or friends,Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
ResFactorsHHchange,A change in family size or marital/ partner status,Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
ResFactorsHwy,Being close to the highway,Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
ResFactorsSchool,Quality of schools (K-12),Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
ResFactorsSpace,Having space & separation from others,Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
ResFactorsTransit,Being close to public transit,Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
ResFactorsWalk,Having a walkable neighborhood and being near local activities,Home Choice Priority,Person,Survey Question: How important were each of these factors when choosing to move where you live now?
AvInterest1," Taxi, no driver present",Autonomous Car Interest,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvInterest2," Taxi, backup driver present",Autonomous Car Interest,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvInterest3,Commute alone,Autonomous Car Interest,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvInterest4,Commute with others,Autonomous Car Interest,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvInterest5,Own autonomous car,Autonomous Car Interest,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvInterest6,Autonomous carshare,Autonomous Car Interest,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvInterest7,Autonomous short trips,Autonomous Car Interest,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvConcern1,Equipment and safety,Autonomous Car Concern,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvConcern2,Legal liability,Autonomous Car Concern,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvConcern3,System and security,Autonomous Car Concern,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvConcern4,Reaction to driving environment,Autonomous Car Concern,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
AvConcern5,Poor weather performance,Autonomous Car Concern,Person,Survey Question: What is your level of interest in the following uses of autonomous cars?
TranPass1,Cash ,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass2,Tickets,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass3,ORCA card,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass4,UPass or Husky Card,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass5,Regional Reduced-Fare Permit,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass6,Flexpass/Passport,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass7,Access Pass,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass8,School District Card/Pass,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass9,City/County Employee Badge,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass10,Ride free,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
TranPass11,Other,Transit Payment Method,Person,Survey Question: Which of the following types of fare payments do you typically use when riding transit in the greater Seattle region?
WbtTransitmore1,Safer ways to get to stops,Transit Improvements,Person,"Survey Question: If the following transit improvements were in place, how often would you choose to take transit for trips where transit is an option?"
WbtTransitmore2,Increased frequency,Transit Improvements,Person,"Survey Question: If the following transit improvements were in place, how often would you choose to take transit for trips where transit is an option?"
WbtTransitmore3,Increased reliability,Transit Improvements,Person,"Survey Question: If the following transit improvements were in place, how often would you choose to take transit for trips where transit is an option?"
WbtBikemore1,Shared use path or protected bike lane,Bike Improvements,Person,"Survey Question: If the following bicycle improvements were in place, how often would you choose to take a bike for trips where bicycling in an option?"
WbtBikemore2,Neighborhood greenway,Bike Improvements,Person,"Survey Question: If the following bicycle improvements were in place, how often would you choose to take a bike for trips where bicycling in an option?"
WbtBikemore3,Bike lane,Bike Improvements,Person,"Survey Question: If the following bicycle improvements were in place, how often would you choose to take a bike for trips where bicycling in an option?"
WbtBikemore4,Shared roadway lane,Bike Improvements,Person,"Survey Question: If the following bicycle improvements were in place, how often would you choose to take a bike for trips where bicycling in an option?"
WbtBikemore5,End of trip ammenities,Bike Improvements,Person,"Survey Question: If the following bicycle improvements were in place, how often would you choose to take a bike for trips where bicycling in an option?"
